SEX,FIRST NAME,NUMBER OF OCCURRENCES
GIRL,DIANNA,1
GIRL,DIEM,1
GIRL,DILCIA,1
GIRL,DILLYN,1
GIRL,DI'MOND,1
GIRL,DIONNA,1
GIRL,DITI,1
GIRL,DIYA,4
GIRL,D'LANIE,1
GIRL,D'LAUREN,1
GIRL,D'LAYLA,1
GIRL,DOLLY,2
GIRL,DOLORES,1
GIRL,DONIA,1
GIRL,DORAH,1
GIRL,DORIE,1
GIRL,DOROTHEA,2
GIRL,DOROTHY,3
GIRL,DREW,2
GIRL,DRU,1
GIRL,DULCE,2
GIRL,DULCELUNA,1
GIRL,DUNEA,1
GIRL,DYLAN,10
GIRL,DYNAH,1
GIRL,DYNALI,1
GIRL,DYXY,1
GIRL,EBANGHA,1
GIRL,EBENEZER,1
GIRL,ECHO,1
GIRL,EDALYN,1
GIRL,EDEN,9
GIRL,EDEN ASSENGONE,1
GIRL,EDIE,1
GIRL,EERIEMOON,1
GIRL,EFFIE,2
GIRL,EILEEN,7
GIRL,EILIM,1
GIRL,EIMMY,1
GIRL,EIMY,2
GIRL,EISLEY,4
GIRL,ELA,1
GIRL,ELAINA,6
GIRL,ELAINE,2
GIRL,ELANA,1
GIRL,ELAND,1
GIRL,ELANIE,1
GIRL,ELARA,1
GIRL,ELAYNA,2
GIRL,ELDANA,1
GIRL,ELEA SAGE,1
GIRL,ELEANA,1
GIRL,ELEANOR,39
GIRL,ELEANOR ROUX,1
GIRL,ELEANORA,2
GIRL,ELEANORE,1
GIRL,ELENA,36
GIRL,ELENI,1
GIRL,ELENORA,1
GIRL,ELEYZA,1
GIRL,ELIA,2
GIRL,ELIANA,27
GIRL,ELIANAH,1
GIRL,ELIANE,1
GIRL,ELIANNA,7
GIRL,ELIDA,1
GIRL,ELIE,1
GIRL,ELIETTE,1
GIRL,ELIF,1
GIRL,ELILYN,1
GIRL,ELIN,1
GIRL,ELINE,1
GIRL,ELIOT,1
GIRL,ELISA,2
GIRL,ELISABET,1
GIRL,ELISE,6
GIRL,ELISHEBA,1
GIRL,ELISHUA,1
GIRL,ELISSA,1
GIRL,ELIZA,10
GIRL,ELIZABELL,1
GIRL,ELIZABETH,56
GIRL,ELIZAVYETA,1
GIRL,ELKE,1
GIRL,ELLA,45
GIRL,ELLA MAI,1
GIRL,ELLA ROSE,1
GIRL,ELLE,11
GIRL,ELLEENA,1
GIRL,ELLEN,5
GIRL,ELLERY,2
GIRL,ELLIANA,4
GIRL,ELLIANNA,1
GIRL,ELLIE,34
GIRL,ELLIELYNN,1
GIRL,ELLIKA,1
GIRL,ELLIOT,9
GIRL,ELLIOTT,4
GIRL,ELLIS,7
GIRL,ELLISON,1
GIRL,ELLORA,1
GIRL,ELLY,1
GIRL,ELLY NHI,1
GIRL,ELLYANNA,1
GIRL,ELLYM,1
GIRL,ELLYSON,1
GIRL,ELODIE,3
GIRL,ELOISE,5
GIRL,ELORA,3
GIRL,ELORIE,1
GIRL,ELOWEN,3
GIRL,ELSA,3
GIRL,ELSIE,6
GIRL,ELYANNA,1
GIRL,ELYSE,4
GIRL,ELYSIA,3
GIRL,ELYSSA,1
GIRL,EMAAN,1
GIRL,EMALEIGH,1
GIRL,EMALYN,1
GIRL,EMBER,5
GIRL,EMBERLEE,1
GIRL,EMBERLY,1
GIRL,EMBIRLY,1
GIRL,EMELIA,2
GIRL,EMELIE,1
GIRL,EMELY,4
GIRL,EMELYN,1
GIRL,EMERALD,2
GIRL,EMERIE,2
GIRL,EMERLY,1
GIRL,EMERLYN,1
GIRL,EMERSON,21
GIRL,EMERSYN,7
GIRL,EMERY,17
GIRL,EMERY  JANE,1
GIRL,EMESHA,1
GIRL,EMICA,1
GIRL,EMIKO,1
GIRL,EMILEE,1
GIRL,EMILI,1
GIRL,EMILIA,21
GIRL,EMILIANA,3
GIRL,EMILIANNA,1
GIRL,EMILIE,1
GIRL,EMILY,58
GIRL,EMILY GRACE,1
GIRL,EMILYN,1
GIRL,EMINA,1
GIRL,EMINE,1
GIRL,EMMA,98
GIRL,EMMA CLAIRE,1
GIRL,EMMAGRACE,1
GIRL,EMMALEE,2
GIRL,EMMALEINE,1
GIRL,EMMALIN,1
GIRL,EMMALINE,1
GIRL,EMMALYN,2
GIRL,EMMANUELLA,1
GIRL,EMMARIE,2
GIRL,EMMELINE,8
GIRL,EMMERIE,1
GIRL,EMMERY,1
GIRL,EMMIE,1
GIRL,EMMILOU,1
GIRL,EMMY,1
GIRL,EMMYLOU,1
GIRL,EMORY,2
GIRL,EMRIE,1
GIRL,EMRY,2
GIRL,EMSLEY,2
GIRL,EMY,1
GIRL,ENARA,1
GIRL,ENIOLA,1
GIRL,ENVEIGH,1
GIRL,EOWYN,2
GIRL,EPHRAIM,1
GIRL,ERABELLA-ROSE,1
GIRL,ERIASEOLUWA,1
GIRL,ERIKA,3
GIRL,ERIN,3
GIRL,ERU,1
GIRL,ERYNN,1
GIRL,ERZA,1
GIRL,ESHA,1
GIRL,ESHAL,1
GIRL,ESHANA,1
GIRL,ESME,8
GIRL,ESMERALDA,13
GIRL,ESPERANZA,2
GIRL,ESPN,1
GIRL,ESTEE,1
GIRL,ESTEFANY,1
GIRL,ESTELLA,3
GIRL,ESTELLE,3
GIRL,ESTELLI,1
GIRL,ESTER,1
GIRL,ESTHER,7
GIRL,ESTRELLA,7
GIRL,ETHANY,1
GIRL,ETTA,1
GIRL,EUMELIA LEE,1
GIRL,EVA,18
GIRL,EVA LUNA,1
GIRL,EVA-CLAIRE,1
GIRL,EVAH,1
GIRL,EVALINA,1
GIRL,EVALYNN,1
GIRL,EVAN,2
GIRL,EVANGELINA,3
GIRL,EVANGELINE,8
GIRL,EVA-ROSE,1
GIRL,EVAUGHNA,1
GIRL,EVE,1
GIRL,EVELIN,2
GIRL,EVELINE,1
GIRL,EVELYN,77
GIRL,EVELYNN,5
GIRL,EVELYNNE,1
GIRL,EVER,4
GIRL,EVERETT,2
GIRL,EVERETTE,1
GIRL,EVERLEE,2
GIRL,EVERLEIGH,4
GIRL,EVERLEY,1
GIRL,EVERLY,25
GIRL,EVIA,2
GIRL,EVIANA,1
GIRL,EVIE,4
GIRL,EZLYN,1
GIRL,EZRA,4
GIRL,FABLE,1
GIRL,FAELYN,1
GIRL,FAITH,12
GIRL,FALLON,1
GIRL,FALLYN,1
GIRL,FALYN,1
GIRL,FARA,1
GIRL,FARRAH,1
GIRL,FATIMA,3
GIRL,FATIMAH,1
GIRL,FATIMAMALANIA,1
GIRL,FAYE,3
GIRL,FELICITY,1
GIRL,FERN,2
GIRL,FERNANDA,5
GIRL,FINA,1
GIRL,FINLEE,2
GIRL,FINLEIGH,1
GIRL,FINLEY,18
GIRL,FIONA,11
GIRL,FIONNA,1
GIRL,FIZA,1
GIRL,FLAVIA,1
GIRL,FLETCHER,1
GIRL,FLOR,3
GIRL,FLORA,7
GIRL,FLORENCE,2
GIRL,FORREST,1
GIRL,FRANCES,5
GIRL,FRANCESCA,4
GIRL,FRANCINE,1
GIRL,FRANCIS,3
GIRL,FRANKIE,2
GIRL,FRANKLYNN,1
GIRL,FREYA,7
GIRL,FREYJA,1
GIRL,FRIDA,4
GIRL,FROZAAN,1
GIRL,GABRIELA,7
GIRL,GABRIELLA,22
GIRL,GABRIELLE,3
GIRL,GABRIELLE FAITH,1
GIRL,GAEL,1
GIRL,GALILEA,6
GIRL,GALILEE,1
GIRL,GARRI'ELLE,1
GIRL,GE'LIAH,1
GIRL,GEMA,2
GIRL,GEMMA,8
GIRL,GENESIS,28
GIRL,GENEVA,4
GIRL,GENEVIEVE,12
GIRL,GENNESIS,1
GIRL,GENTRY,1
GIRL,GEO,1
GIRL,GEORGIA,10
GIRL,GEORGIE,1
GIRL,GEORGINA,1
GIRL,GERALDINE,2
GIRL,GERTRUDE,1
GIRL,GEVYRA,1
GIRL,GHISLAINE,1
GIRL,GIA,2
GIRL,GIADA,1
GIRL,GIANA,4
GIRL,GIANNA,15
GIRL,GIAVANNI,1
GIRL,GIDEON,1
GIRL,GILANA,1
GIRL,GIORGIA,1
GIRL,GIOVANNA,3
GIRL,GISELA,3
GIRL,GISELE,4
GIRL,GISELLA,1
GIRL,GISELLE,11
GIRL,GISSEL,4
GIRL,GISSELLA,1
GIRL,GISSELLE,2
GIRL,GIULIANA,2
GIRL,GIULIANNA,1
GIRL,GIULIETTA,1
GIRL,GIZELLA,1
GIRL,GIZELLE,1
GIRL,GIZZELLE,1
GIRL,GJEVA,1
GIRL,GLENDY,1
GIRL,GLORIA,2
GIRL,GOLDIE,1
GIRL,GRACE,28
GIRL,GRACELYN,4
GIRL,GRACELYNN,1
GIRL,GRACEMARIE,1
GIRL,GRACIE,2
GIRL,GRACIELA,1
GIRL,GRACIELLA,1
GIRL,GRAECYN,1
GIRL,GRANUAILE,1
GIRL,GRAY,1
GIRL,GRAYSON,1
GIRL,GREECE,1
GIRL,GREISY,1
GIRL,GRETA,1
GIRL,GRETCHEN,2
GIRL,GRETHEL,1
GIRL,GRETTEL,2
GIRL,GRETTELL,1
GIRL,GREY,1
GIRL,GUADALUPE,2
GIRL,GULIANA,1
GIRL,GULLIETHA,1
GIRL,GWEN,7
GIRL,GWENDOLYN,6
GIRL,GWENEVERE,1
GIRL,GWYNETH,3
GIRL,HAAGR,1
GIRL,HAASINI,1
GIRL,HADASSAH,4
GIRL,HADDIE,1
GIRL,HADLEY,13
GIRL,HADYN,1
GIRL,HAFSA,1
GIRL,HAFSAH,1
GIRL,HAILEE,1
GIRL,HAILEY,13
GIRL,HALEY,7
GIRL,HALINA,1
GIRL,HALLE,2
GIRL,HALLIE,6
GIRL,HANA,1
GIRL,HANNA,4
GIRL,HANNAH,30
GIRL,HANNE,1
GIRL,HARITA,1
GIRL,HARLEE,2
GIRL,HARLEEN,1
GIRL,HARLEN,1
GIRL,HARLEY,9
GIRL,HARLOW,5
GIRL,HARLYNN,1
GIRL,HARMONI,1
GIRL,HARMONY,4
GIRL,HARPER,53
GIRL,HARPYR,1
GIRL,HARRAM,1
GIRL,HARRIET,3
GIRL,HARSHIKA,1
GIRL,HASSET,1
GIRL,HATTIE,10
GIRL,HATZIRY,1
GIRL,HAVANA,1
GIRL,HAVEN,2
GIRL,HAYA,1
GIRL,HAYAWOR,1
GIRL,HAYDEE,2
GIRL,HAYDEN,4
GIRL,HAYES,3
GIRL,HAYLEE,3
GIRL,HAYLEY,2
GIRL,HAYLIE,1
GIRL,HAZEL,30
GIRL,HAZELLE,1
GIRL,HAZINE,1
GIRL,HAZLEIGH,1
GIRL,HEATHER,2
GIRL,HEAVEN,5
GIRL,HEAVENLEY,1
GIRL,HEAVENLY,1
GIRL,HEIDI,9
GIRL,HEIDY,5
GIRL,HEILY,1
GIRL,HEILYN,1
GIRL,HELANY,1
GIRL,HELEN,5
GIRL,HELENA,4
GIRL,HELINA,1
GIRL,HELLEN,3
GIRL,HELLER,1
GIRL,HEMMING,1
GIRL,HENDRIX,1
GIRL,HENLEY,4
GIRL,HENLYE,1
GIRL,HENNESSY,1
GIRL,HENRIETTA,1
GIRL,HENSLEY,3
GIRL,HERA ISABELLE,1
GIRL,HESAT,1
GIRL,HILDA,1
GIRL,HIMABINDU,1
GIRL,HIROMY,1
GIRL,HISMAELA,1
GIRL,HITANSHI,1
GIRL,HIYAB,1
GIRL,HOLLAND,2
GIRL,HOLLEEN,1
GIRL,HOLLIE,1
GIRL,HOLLIS,2
GIRL,HOLLY,4
GIRL,HOLY,1
GIRL,HONEST,1
GIRL,HONNESHA,1
GIRL,HONNESTY,1
GIRL,HOORIYA,1
GIRL,HOPE,3
GIRL,HOSANNA,1
GIRL,HUDA,2
GIRL,HUDSON,1
GIRL,HUNTER,1
GIRL,HUSAINA,1
GIRL,HUSNA,1
GIRL,HUXLEY,1
GIRL,IBRIA,1
GIRL,IBUKUNOLUWA,1
GIRL,ICIYANNA,1
GIRL,ICY,1
GIRL,IDA,1
GIRL,IDABELLE,1
GIRL,IDALIE,1
GIRL,IDRIS-CAMILE,1
GIRL,IGNACIA,1
GIRL,IHAANTARA,1
GIRL,ILA,1
GIRL,ILDIKO,1
GIRL,ILIANA,2
GIRL,ILIANNA,1
GIRL,ILLARI,1
GIRL,ILLIANA,1
GIRL,ILLIYA,1
GIRL,ILO,1
GIRL,ILWAAD,1
GIRL,ILYANA,1
GIRL,IMAN,3
GIRL,IMANI,3
GIRL,INAARA,1
GIRL,INAAYA,1
GIRL,INARA,2
GIRL,INAYA,2
GIRL,INCHARA,1
GIRL,INDIA,1
GIRL,INDIE,2
GIRL,INDIRA,1
GIRL,INDY,1
GIRL,INES,1
GIRL,INEZ,1
GIRL,INFANT BABY GIRL,1
GIRL,IONE,2
GIRL,IRA,2
GIRL,IRASEMA,1
GIRL,IRELIA,1
GIRL,IRENE,4
GIRL,IRIE,1
GIRL,IRINA,1
GIRL,IRIS,10
GIRL,ISABEL,13
GIRL,ISABELA,3
GIRL,ISABELLA,88
GIRL,ISABELLE,15
GIRL,ISADORA,1
GIRL,ISAIDA,1
GIRL,ISALENA,1
GIRL,ISAURA,1
GIRL,ISBEIDY,1
GIRL,ISELA,1
GIRL,ISHA,3
GIRL,ISHAA,1
GIRL,ISHAANVI,1
GIRL,ISHIKA,2
GIRL,ISLA,11
GIRL,ISLAH,1
GIRL,ISLAY,1
GIRL,ISOBEL,2
GIRL,ISOLDE,1
GIRL,ISUA,1
GIRL,ITZAE,1
GIRL,ITZAMAR,1
GIRL,ITZAYANA,7
GIRL,ITZEL,10
GIRL,ITZIGUERI,1
GIRL,IVA,1
GIRL,IVANALEYAH,1
GIRL,IVANJELYNA,1
GIRL,IVANNA,8
GIRL,IVETH,1
GIRL,IVONNE,2
GIRL,IVORIE,1
GIRL,IVORY,2
GIRL,IVY,15
GIRL,IVYANA,1
GIRL,IVYANNA,1
GIRL,IYLA,1
GIRL,IZABELA,1
GIRL,IZABELE,1
GIRL,IZABELLA,7
GIRL,IZZABELLE,1
GIRL,IZZY,1
GIRL,JACE,1
GIRL,JACE JAI LI,1
GIRL,JACEE,1
GIRL,JACELY,1
GIRL,JACI,2
GIRL,JACIE,1
GIRL,JACINDA,1
GIRL,JACKELIN,1
GIRL,JACKELINE,1
GIRL,JACKELYN,2
GIRL,JACKIE,3
GIRL,JACOBI,1
GIRL,JACQUELINE,8
GIRL,JACQUELYN,4
GIRL,JACYN,1
GIRL,JADA,3
GIRL,JADE,15
GIRL,JAELENA,1
GIRL,JAELONI,1
GIRL,JAELYN,2
GIRL,JAELYNN,4
GIRL,JAE'VANIQUE,1
GIRL,JAEYAH',1
GIRL,JAGGER,1
GIRL,JAHAIRA,1
GIRL,JAHIELLE,1
GIRL,JAHNAVI,1
GIRL,JAICEE,1
GIRL,JAIDY,1
GIRL,JAI'LA,1
GIRL,JAILEE,2
GIRL,JAILYNE,1
GIRL,JAI'LYNN,1
GIRL,JA'LAYAH,1
GIRL,JA'LAYLA,1
GIRL,JA'LEAH,1
GIRL,JALEN,1
GIRL,JA'LIN,1
GIRL,JALIYAH,2
GIRL,JALIYIAH,1
GIRL,JAMES,1
GIRL,JAMIE,4
GIRL,JA'MILLIAN,1
GIRL,JAMYRAH,1
GIRL,JANA,3
GIRL,JANAE,1
GIRL,JANAL,1
GIRL,JANAVIE,1
GIRL,JANE,8
GIRL,JANELLE,3
GIRL,JANELLEE,1
GIRL,JANELLY,1
GIRL,JANETH,1
GIRL,JANICE,1
GIRL,JANICE EVELYN,1
GIRL,JANIE,1
GIRL,JA'NIJAH,1
GIRL,JANINE,1
GIRL,JANIS,1
GIRL,JANIYAH,2
GIRL,JA'NIYAH,2
GIRL,JANNELLE,1
GIRL,JA'NOVA,1
GIRL,JANVI,2
GIRL,JANYLA,1
GIRL,JA'NYLA,1
GIRL,JAQUELIN,1
GIRL,JAQUELINE,1
GIRL,JA'RAI,1
GIRL,JARETZY,1
GIRL,JARIAH,1
GIRL,JASCELYN,1
GIRL,JASLENE,1
GIRL,JASLYN,1
GIRL,JASLYNN,1
GIRL,JASMIN,3
GIRL,JASMINE,8
GIRL,JASMINE-NICHOLE,1
GIRL,JASMYNE,1
GIRL,JASSMIN,1
GIRL,JASVITHA,1
GIRL,JAYA,1
GIRL,JAYANA,1
GIRL,JAYCEE,1
GIRL,JAYDA,2
GIRL,JAYDE,2
GIRL,JAYLA,1
GIRL,JAYLAH,2
GIRL,JAY'LAH,1
GIRL,JAYLEE,1
GIRL,JAYLEEN,5
GIRL,JAY'LEI,1
GIRL,JAYLEN,1
GIRL,JAYLENE,1
GIRL,JAYLIANA,1
GIRL,JAYLIN,3
GIRL,JAYLINE,1
GIRL,JAYLONI,1
GIRL,JAYNA,1
GIRL,JAZARAH,1
GIRL,JA'ZI,1
GIRL,JAZIREA,1
GIRL,JAZIRIAH,1
GIRL,JAZLYN,3
GIRL,JAZLYNN,1
GIRL,JAZMIN,5
GIRL,JAZMINE,4
GIRL,JAZMINE ROSE MARIGOLD,1
GIRL,JAZZ,1
GIRL,JAZZERAE,1
GIRL,JAZZLEAN,1
GIRL,JAZZLYN,1
GIRL,JAZZLYNN,1
GIRL,JEANELLA,1
GIRL,JEANETTE,1
GIRL,JEILYN,1
GIRL,JEIMY,1
GIRL,JELEYNA,1
GIRL,JEMMA,1
GIRL,JEN,1
GIRL,JENA,1
GIRL,JENESIS,2
GIRL,JENNA,2
GIRL,JENNABELLE,1
GIRL,JENNEVAH,1
GIRL,JENNEVI,1
GIRL,JENNIFER,4
GIRL,JENNISSE,1
GIRL,JENSEN,1
GIRL,JEORGINA,1
GIRL,JESALYN,1
GIRL,JESHIA,1
GIRL,JESIAH,1
GIRL,JESSA,1
GIRL,JESSABELLE,1
GIRL,JESSENIE,1
GIRL,JESSICA,6
GIRL,JESSIE,1
GIRL,JEWEL,2
GIRL,JEWLIA,1
GIRL,JHACELYN,1
GIRL,JHOURNEE,1
GIRL,JIALI APPHIA,1
GIRL,JIANA,2
GIRL,JIANNA,1
GIRL,JILL,1
GIRL,JILLIAN,6
GIRL,JIMENA,6
GIRL,JINA,1
GIRL,JIREH,1
GIRL,JISELLE,1
GIRL,JISSELL,1
GIRL,JIZELLE,1
GIRL,J'LYN,1
GIRL,JO,1
GIRL,JOANA,1
GIRL,JOANNA,11
GIRL,JOANNE,1
GIRL,JOANY,1
GIRL,JOCELIN,1
GIRL,JOCELINE,1
GIRL,JOCELYN,10
GIRL,JOCIE,1
GIRL,JODI,1
GIRL,JOELLA,1
GIRL,JOEY,1
GIRL,JOHANA,2
GIRL,JOHANNA,3
GIRL,JOHNNIE,1
GIRL,JOLEEN,1
GIRL,JOLEIGH,2
GIRL,JOLENE,5
GIRL,JOLIE,1
GIRL,JONI,1
GIRL,JONYA,1
GIRL,JOORI,1
GIRL,JORDAN,7
GIRL,JORDYN,5
GIRL,JORDYNN,1
GIRL,JOSALYN,1
GIRL,JOSELIN,1
GIRL,JOSELYN,2
GIRL,JOSELYNN,1
GIRL,JOSENE,1
GIRL,JOSEPHINE,23
GIRL,JOSETTE,1
GIRL,JOSEY,1
GIRL,JOSHNIKA,1
GIRL,JOSIE,5
GIRL,JOSOPHIA,1
GIRL,JOSSARY,1
GIRL,JOSSELINE,1
GIRL,JOSSELYN,1
GIRL,JOURDAN,1
GIRL,JOURNEY,3
GIRL,JOURNIE,1
GIRL,JOVIE,1
GIRL,JOY,7
GIRL,JOY ESTHER,1
GIRL,JOYCE,4
GIRL,JUANA,1
GIRL,JUANITA,1
GIRL,JUBILEE,2
GIRL,JUDE,2
GIRL,JUDIESY,1
GIRL,JUDITH,2
GIRL,JUDY,1
GIRL,JUEUN,1
GIRL,JULEE,1
GIRL,JULEESAH,1
GIRL,JULES,1
GIRL,JULESSA,1
GIRL,JULIA,21
GIRL,JULIANA,15
GIRL,JULIANNA,13
GIRL,JULIANNE,1
GIRL,JULIE,1
GIRL,JULIET,14
GIRL,JULIETA,3
GIRL,JULIETTA,1
GIRL,JULIETTE,13
GIRL,JULINA,1
GIRL,JULISA,1
GIRL,JULISSA,5
GIRL,JUNA,1
GIRL,JUNE,22
GIRL,JUNIPER,15
GIRL,JUPITER,3
GIRL,JURIANA,1
GIRL,JURIYAH,1
GIRL,JURNEE,2
GIRL,JUR'NEE,1
GIRL,JUSTICE,2
GIRL,JUSTINE,2
GIRL,JUSTUS,1
GIRL,JUWAINA,1
GIRL,KACEY,1
GIRL,KADEN,1
GIRL,KADYNCE,1
GIRL,KAELANI,1
GIRL,KAELIN,1
GIRL,KAE'LIN,1
GIRL,KAELYN,1
GIRL,KAELYNN,1
GIRL,KAETLYN,1
GIRL,KAHLAN,1
GIRL,KAHLANI,1
GIRL,KAHLI,1
GIRL,KAI,3
GIRL,KAIA,1
GIRL,KAIDENCE,1
GIRL,KAILANI,1
GIRL,KAILEY,1
GIRL,KAILY,1
GIRL,KAILYN,1
GIRL,KAIRA,2
GIRL,KAISLYNNE,1
GIRL,KAITLEEN,1
GIRL,KAITLYN,5
GIRL,KAITLYNN,1
GIRL,KAIYA,4
GIRL,KALANI,3
GIRL,KALASH,1
GIRL,KALEA,2
GIRL,KALE'A,1
GIRL,KALEY,1
GIRL,KALI,3
GIRL,KALIE,2
GIRL,KALIYAH,1
GIRL,KALLIANNE,1
GIRL,KALLIE,1
GIRL,KALYN,1
GIRL,KAMBRIE,1
GIRL,KAM'BRIE,1
GIRL,KAMDEN,1
GIRL,KAMEA,1
GIRL,KAMILA,12
GIRL,KAMILAH,1
GIRL,KAMILLE,1
GIRL,KAMIYAH,1
GIRL,KAMRII,1
GIRL,KAMRYN,1
GIRL,KAMSIYONNA,1
GIRL,KANISHKA,1
GIRL,KANIYA,1
GIRL,KA'NIYA,1
GIRL,KA'OIR,1
GIRL,KARA,3
GIRL,KAREN,4
GIRL,KARI,1
GIRL,KARIAH,1
GIRL,KARIME,1
GIRL,KARINA,5
GIRL,KARIS,4
GIRL,KARIZMA,1
GIRL,KARLA,5
GIRL,KARMA,2
GIRL,KARMINA,1
GIRL,KAROL,1
GIRL,KAROLINA,2
GIRL,KARRISSA,1
GIRL,KARSYN,3
GIRL,KARYSSA,1
GIRL,KASEDI,1
GIRL,KASIDY,1
GIRL,KASIN,1
GIRL,KASLEEN,1
GIRL,KASSIA,1
GIRL,KASSIDY,1
GIRL,KASSIE,1
GIRL,KATALEYA,4
GIRL,KATALINA,4
GIRL,KATALYNA,1
GIRL,KATARYNNA,1
GIRL,KATE,8
GIRL,KATELYN,4
GIRL,KATEMCY,1
GIRL,KATERI,1
GIRL,KATERIN,1
GIRL,KATERINA,1
GIRL,KATHERIN,1
GIRL,KATHERINE,34
GIRL,KATHERINNE,1
GIRL,KATHERYN,1
GIRL,KATHIA,1
GIRL,KATHLEEN,3
GIRL,KATHRYN,3
GIRL,KATHRYNE,1
GIRL,KATIA,1
GIRL,KATIE,4
GIRL,KAURI,1
GIRL,KAVINAYA,1
GIRL,KAVYA,1
GIRL,KAYA,4
GIRL,KAYDEN,1
GIRL,KAYDENCE,1
GIRL,KAYGEN,1
GIRL,KAYLA,12
GIRL,KAYLANI,3
GIRL,KAYLEE,15
GIRL,KAYLEEN,3
GIRL,KAYLEI,1
GIRL,KAYLEIGH,1
GIRL,KAYLEN,2
GIRL,KAYLEY,1
GIRL,KAYLI,1
GIRL,KAYLIANA,1
GIRL,KAYRIN,1
GIRL,KAYSE,1
GIRL,KA'ZALE,1
GIRL,KEANA,1
GIRL,KEANYA,1
GIRL,KEELEY,1
GIRL,KEELY,2
GIRL,KEERTHI HAMSINI,1
GIRL,KEHLANI,2
GIRL,KEIDY,1
GIRL,KEILA,1
GIRL,KEILANI,1
GIRL,KEILLY,1
GIRL,KEILY,4
GIRL,KEIRA,6
GIRL,KEIRRA,1
GIRL,KEIRY,1
GIRL,KEI'VA,1
GIRL,KELANI,1
GIRL,KELBY,1
GIRL,KELINA,1
GIRL,KELLY,1
GIRL,KELSEY,4
GIRL,KELSIE,1
GIRL,KENADI,1
GIRL,KENDALL,6
GIRL,KENDRA,5
GIRL,KENIA,4
GIRL,KENLEY,1
GIRL,KENNA,2
GIRL,KENNADY,1
GIRL,KENNEDI,3
GIRL,KENNEDY,21
GIRL,KENNITY,1
GIRL,KENNON,1
GIRL,KENSINGTON,1
GIRL,KENSLEY,1
GIRL,KENYA,2
GIRL,KE'NYRA,1
GIRL,KENZA,1
GIRL,KENZIE,1
GIRL,KENZLEIGH,1
GIRL,KERRIGAN,1
GIRL,KESTREL,1
GIRL,KEYANA,1
GIRL,KEYLA,3
GIRL,KEZIAH,3
GIRL,KHADEEJA,1
GIRL,KHADIJA,1
GIRL,KHALANI,1
GIRL,KHALEESI,2
GIRL,KHALEESI MAE,1
GIRL,KHALI,1
GIRL,KHALYSE,1
GIRL,KHAMI,1
GIRL,KHERRINGTON,1
GIRL,KHLOE,7
GIRL,KIAMARA,1
GIRL,KIANA,2
GIRL,KIANNA,1
GIRL,KIANNI,1
GIRL,KIARA,4
GIRL,KIAVONNI,1
GIRL,KIDA,1
GIRL,KIERLYNN,1
GIRL,KIERSTEN,1
GIRL,KI'LAHNI,1
GIRL,KIM,1
GIRL,KIMBER,2
GIRL,KIMBERLY,15
GIRL,KI'MONIE,1
GIRL,KINDALYN,1
GIRL,KINGSLEY,1
GIRL,KINLEIGH,1
GIRL,KINLEY,5
GIRL,KINSLEE,3
GIRL,KINSLEY,10
GIRL,KINSLIE,1
GIRL,KINZIE,1
GIRL,KINZY,1
GIRL,KIRA,7
GIRL,KIRAN,1
GIRL,KIYAH,2
GIRL,KLAIRE,1
GIRL,KLINE,1
GIRL,KLOE,1
GIRL,KOA,1
GIRL,KODI,1
GIRL,KODIE-RAE,1
GIRL,KORI,1
GIRL,KORRA,1
GIRL,KORRINE,1
GIRL,KORYN,1
GIRL,KOURI,1
GIRL,KOURTNEY,1
GIRL,KRISTA,1
GIRL,KRISTAL,1
GIRL,KRISTI,1
GIRL,KRISTIN,1
GIRL,KRISTINA,1
